epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3273.61,1.41022,1.49452,1.69251,0.59643,0.75561,0.65271,0.39995,1.22041,1.22277,1.61075,0.000848969,0.000848969,0.000848969
43,3350.86,1.45971,1.50211,1.70607,0.57955,0.78139,0.65592,0.40632,1.21588,1.32452,1.62456,0.000834822,0.000834822,0.000834822
44,3427.26,1.41364,1.45009,1.64245,0.59835,0.73778,0.65058,0.41075,1.21012,1.19488,1.59958,0.000820675,0.000820675,0.000820675
45,3506.25,1.37889,1.42173,1.64131,0.64066,0.72479,0.66658,0.43544,1.21469,1.1826,1.58866,0.000806528,0.000806528,0.000806528
46,3583.83,1.37926,1.43614,1.63985,0.55548,0.71462,0.6505,0.39502,1.22142,1.25387,1.6034,0.00079238,0.00079238,0.00079238
47,3660.14,1.36391,1.44419,1.64633,0.61062,0.76216,0.66076,0.42377,1.23302,1.23369,1.6104,0.000778233,0.000778233,0.000778233
48,3737.79,1.41647,1.43794,1.68458,0.55099,0.72572,0.62341,0.39556,1.2228,1.29491,1.60424,0.000764086,0.000764086,0.000764086
49,3815.69,1.34378,1.4468,1.63282,0.63685,0.67448,0.67697,0.44303,1.18917,1.18542,1.56802,0.000749939,0.000749939,0.000749939
50,3891.72,1.33748,1.4184,1.66012,0.60204,0.79339,0.67508,0.42079,1.20734,1.19508,1.56991,0.000735792,0.000735792,0.000735792
51,3968.2,1.34881,1.4463,1.6438,0.56037,0.7786,0.64271,0.41637,1.15705,1.20943,1.56528,0.000721645,0.000721645,0.000721645
52,4044.68,1.30797,1.42504,1.60971,0.60493,0.70426,0.67029,0.43318,1.1773,1.19311,1.55154,0.000707498,0.000707498,0.000707498
53,4119.75,1.33996,1.41537,1.59952,0.58332,0.75512,0.66091,0.4222,1.19524,1.30577,1.57156,0.000693351,0.000693351,0.000693351
54,4194.84,1.33474,1.39537,1.61695,0.61586,0.77076,0.68666,0.46428,1.12693,1.15086,1.51586,0.000679204,0.000679204,0.000679204
