epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1528.15,1.65077,1.24603,1.70354,0.82024,0.6607,0.73432,0.40433,1.55391,1.21678,1.70996,0.000581,0.000581,0.000581
45,1562.7,1.65155,1.21466,1.65811,0.83494,0.66376,0.75518,0.41982,1.54299,1.13509,1.67853,0.000548,0.000548,0.000548
46,1597.43,1.61618,1.22571,1.68001,0.80978,0.68326,0.75186,0.42592,1.56058,1.14388,1.66374,0.000515,0.000515,0.000515
47,1631.7,1.64257,1.19721,1.66007,0.79862,0.66396,0.72894,0.38659,1.58296,1.33465,1.69422,0.000482,0.000482,0.000482
48,1666.27,1.64898,1.27975,1.72059,0.81551,0.64706,0.74187,0.4136,1.52195,1.22676,1.64298,0.000449,0.000449,0.000449
49,1700.45,1.70287,1.24403,1.72054,0.80166,0.70136,0.76047,0.45007,1.45609,1.10239,1.58703,0.000416,0.000416,0.000416
50,1734.08,1.6216,1.24466,1.71571,0.77195,0.69231,0.75748,0.45951,1.41805,1.11079,1.58,0.000383,0.000383,0.000383
51,1767.56,1.46133,1.15435,1.63207,0.83386,0.65863,0.75281,0.44141,1.43206,1.18402,1.60727,0.00035,0.00035,0.00035
52,1801.48,1.51863,1.16046,1.63408,0.77499,0.68575,0.74143,0.448,1.38956,1.13697,1.56143,0.000317,0.000317,0.000317
53,1835.09,1.47275,1.08148,1.61775,0.79151,0.75583,0.7805,0.47346,1.41376,1.07147,1.55355,0.000284,0.000284,0.000284
54,1869.32,1.49275,1.10999,1.63211,0.82165,0.73756,0.78582,0.47504,1.40855,1.06285,1.57445,0.000251,0.000251,0.000251
55,1903.43,1.44836,1.0844,1.6223,0.82921,0.72851,0.78328,0.4736,1.39548,1.09089,1.56118,0.000218,0.000218,0.000218
56,1937.89,1.39322,1.04547,1.572,0.84973,0.72851,0.7905,0.48628,1.38398,1.07331,1.54496,0.000185,0.000185,0.000185
57,1972.41,1.44886,1.01927,1.54449,0.83045,0.74661,0.79615,0.4854,1.38979,1.05336,1.53451,0.000152,0.000152,0.000152
58,2006.83,1.41672,1.06389,1.56728,0.85402,0.73303,0.7894,0.48957,1.34683,1.04743,1.52402,0.000119,0.000119,0.000119
59,2040.65,1.41514,1.0289,1.56904,0.85312,0.73588,0.78729,0.48768,1.32555,1.04048,1.51021,8.6e-05,8.6e-05,8.6e-05
60,2074.14,1.41052,1.04227,1.57898,0.84048,0.73907,0.79275,0.49591,1.31256,1.03036,1.4999,5.3e-05,5.3e-05,5.3e-05
